Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Mako DSP.PrjPCB|ReportField=ProjectFullPath~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP.PrjPCB|ReportField=Title~Bill of Materials For Project [Mako DSP.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~213|ReportField=ReportTime~11:37:01 PM|ReportField=ReportDate~3/9/2014|ReportField=ReportDateTime~3/9/2014 11:37:01 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/9/2014|ReportField=CurrentTime~11:36:50 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP Arduio IO R2.0.SchDoc|ReportField=DocumentName~Mako DSP Arduio IO R2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/9/2014|ReportField=Organization~|ReportField=ProjectName~Mako DSP.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Mako DSP.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP.PrjPCB
PMEG1030EH_EJ|Default Diode|D1|PMEG1030EH_EJ|Diode|1
PMEG4050EP|Default Diode|D2|PMEG4050EP|Diode|1
Header 2|Header, 2-Pin|DBGEN1, TRST1|HDR1X2|Header 2|2
Arduino Leonardo High Byte||Digital IO Higher Byte1|Arduino Leonardo High Byte|Arduino Leonardo High Byte|1
Arduino Leonardo Low Byte||Digital IO Lower Byte1|Arduino Leonardo Low Byte|Arduino Leonardo Low Byte|1
BLM15HG601SN1D|BLM15HG601SN1D|FB1, FB2, FB3, FB4, FB5, FB6, FB10, FB12, FB13, FB17|BLM18PG121SN1D|BLM15HG601SN1D|10
MI0805L301R-10|Inductor|FB8, FB9, FB11, FB16|SM 0805 - gap trimmed|Inductor|4
Ferrite|Inductor|FB14, FB15|SM 0805 - gap trimmed|Inductor|2
DX4R005J91R5100|Micro USB Jack B|J3|Micro USB Circular Holes Only|Micro USB|1
S9015E-05-ND||JTAG/DEBUG1|S9015E-05-ND|S9015E-05-ND|1
Inductor|Inductor|L1|CIP0530LR3R3|Inductor|1
Inductor|Inductor|L3|VLS252012T-2R2M1R3|Inductor|1
Arduino Leonardo Power||Power & Reset1|Arduino Leonardo Power|Arduino Leonardo Power|1
FDN340P|P-Channel MOSFET|Q1|SOT23-3N|FDN340P|1
Res3|Resistor|R1, R2, R3, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R23, R24, R25, R26, R27, R28, R29, R30, R32, R33|J1-0603|Res3|28
Res3|Resistor|R4, R5|SM 0805 - gap trimmed|Res3|2
Res3|Resistor|R21|RESC2012L|Res3|1
0603|Resistor|R22, R31, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57|J1-0603|Res3|20
Res3|Resistor|R34, R35, R36, R37, R38, R39|0402 - duplicate|Res3|6
RESISTOR ARRAY|Resistor array|RA1, RA2, RA3, RA4, RA5, RA6, RA7|742C083|RESISTOR ARRAY|7
Tactile Switch||RESET1|TL3301|Tactile Switch|1
Socket|Socket|RTCALARM1, TP0, TP1, TP2, TP3, WAKEUP0, WAKEUP1, WAKEUP2, WAKEUP3|PIN1|Socket|9
Header 3X2|Header, 3-Pin, Dual row|SSP1|HDR2X3|Header 3X2|1
APTF1616SEEZGQBDC|RGB LED|STATUS, USER STATUS|RGB LED APTF1616SEEZGQBDC|RGB LED APTF1616SEEZGQBDC|2
CUI 43515TS||Stereo Input1, Stereo Output1|CUI SJ-43515TS|CUI 43515TS|2
BAV70S SOT-363||U1, U2, U3|BAV70S_SOT363|BAV70S SOT-363|3
WM8778||U4|WM8778|WM8778|1
LPC4330FET256|32-bit ARM Cortex-M4 MCU, 264 kB SRAM, 2 HS USB with on-chip PHY, Ethernet, CAN, AES, SPIFI, SGPIO, SCT, 256-Pin LBGA|U5|SOT740-2|LPC4330FET256|1
MIC24085||U6|MIC24085-AYML|MIC24085|1
TLV117113|Linear Regulator|U7|TLV117112|TLV117112|1
Ti LM358 SOP||U8|LM358|LM358_Symbol|1
TPS62162SOP||U9|TPS62162SOP|TPS62162SOP|1
S25FL064P0XNFI001|SPIFI Quad Flash|U10|S25FL064P0XNFI001|S25FL064P0XNFI001|1
LME49722MA|Low Noise, High Performance, High Fidelity Dual Audio Operational Amplifier, 8-pin Narrow SOIC|U11|M08A_N|LME49722MA|1
AS4C8M16S||U12|AS4C8M16S|AS4C8M16S|1
ABM3B-12.000MHZ-B2-T||X1|ABM3B-12.000MHZ-B2-T|ABM3B-12.000MHZ-B2-T|1
ABS07-32.768KHZ-T|ABS07-32.768KHZ-T RTC Crystal Oscillator|X2|ABS07-32.768KHZ-T|ABS07-32.768KHZ-T|1
